gene_id,cluster
Ap14.502,1
Ap14.500,2
Ap14.506,1
Ap14.1788,1
Ap14.1787,1
Ap14.1786,1
Ap14.1780,1
Ap14.1121,1
Ap14.1127,1
Ap14.1126,1
Ap14.312,1
Ap14.310,1
Ap14.311,1
Ap14.871,1
Ap14.875,1
Ap14.77,1
Ap14.295,1
Ap14.2053,1
Ap14.2050,1
Ap14.1630,1
Ap14.1637,1
Ap14.1635,1
Ap14.395,1
Ap14.988,1
Ap14.464,1
Ap14.466,2
Ap14.467,1
Ap14.460,1
Ap14.1866,1
Ap14.1864,1
Ap14.1865,1
Ap14.1246,1
Ap14.1245,1
Ap14.1257,1
Ap14.1436,1
Ap14.1433,1
Ap14.1779,1
Ap14.716,1
Ap14.717,1
Ap14.714,1
Ap14.710,1
Ap14.711,1
Ap14.1051,1
Ap14.1058,1
Ap14.329,1
Ap14.322,1
Ap14.327,1
Ap14.326,1
Ap14.325,1
Ap14.2012,1
Ap14.796,1
Ap14.794,1
Ap14.160,1
Ap14.26,1
Ap14.1328,1
Ap14.2009,1
Ap14.1484,1
Ap14.1482,1
Ap14.722,1
Ap14.1158,1
Ap14.457,1
Ap14.398,1
Ap14.171,1
Ap14.305,1
Ap14.304,1
Ap14.306,1
Ap14.300,1
Ap14.694,1
Ap14.699,1
Ap14.9,1
Ap14.1028,1
Ap14.1029,1
Ap14.2023,1
Ap14.539,1
Ap14.1214,1
Ap14.240,1
Ap14.974,2
Ap14.1976,1
Ap14.1973,1
Ap14.6,1
Ap14.1724,1
Ap14.1720,1
Ap14.954,1
Ap14.956,1
Ap14.957,1
Ap14.370,1
Ap14.1295,1
Ap14.216,1
Ap14.380,1
Ap14.1885,1
Ap14.16,1
Ap14.15,1
Ap14.18,1
Ap14.1470,1
Ap14.2037,1
Ap14.2038,1
Ap14.2039,1
Ap14.1101,1
Ap14.1106,1
Ap14.1801,1
Ap14.1806,1
Ap14.1807,1
Ap14.1808,1
Ap14.140,1
Ap14.146,1
Ap14.98,1
Ap14.96,1
Ap14.97,1
Ap14.94,1
Ap14.93,1
Ap14.1068,1
Ap14.1227,1
Ap14.239,1
Ap14.238,1
Ap14.237,1
Ap14.1525,1
Ap14.1928,1
Ap14.1692,1
Ap14.1694,1
Ap14.789,1
Ap14.788,1
Ap14.1251,1
Ap14.784,1
Ap14.768,1
Ap14.1718,1
Ap14.1596,1
Ap14.1597,1
Ap14.924,1
Ap14.927,2
Ap14.1550,1
Ap14.847,1
Ap14.157,1
Ap14.1071,1
Ap14.88,1
Ap14.1798,1
Ap14.1799,1
Ap14.1794,1
Ap14.1790,1
Ap14.385,1
Ap14.110,1
Ap14.111,1
Ap14.112,1
Ap14.113,1
Ap14.118,1
Ap14.119,1
Ap14.1628,1
Ap14.1623,1
Ap14.1626,1
Ap14.387,1
Ap14.386,1
Ap14.1011,1
Ap14.521,1
Ap14.522,1
Ap3.1973,1
Ap3.1067,2
Ap3.1065,1
Ap3.1064,1
Ap3.1350,1
Ap3.259,1
Ap3.877,1
Ap3.870,1
Ap3.873,1
Ap3.878,1
Ap3.879,1
Ap3.2488,1
Ap3.2482,1
Ap3.2483,1
Ap3.474,1
Ap3.477,1
Ap3.478,1
